lat,lon,origen,peso_pico,tipo
-31.398,-64.182,Interno (Captura Propia),1,Imagen
-31.289,-64.456,Interno (Captura Propia),2,Imagen
-31.288,-64.457,Interno (Captura Propia),1,Video
-31.287,-64.455,Interno (Captura Propia),3,Video
-31.286,-64.456,Interno (Captura Propia),2,Video
-31.286,-64.455,Interno (Captura Propia),1,Imagen
-31.285,-64.457,Interno (Captura Propia),1,Video
-31.285,-64.455,Interno (Captura Propia),3,Imagen
-31.284,-64.459,Interno (Captura Propia),1,Video
-31.284,-64.456,Interno (Captura Propia),9,Video
-31.284,-64.455,Interno (Captura Propia),4,Imagen
-31.283,-64.455,Interno (Captura Propia),3,Video
-31.28,-64.46,Interno (Captura Propia),1,Video
-31.28,-64.459,Interno (Captura Propia),10,Video
-31.28,-64.458,Interno (Captura Propia),13,Video
-31.28,-64.457,Interno (Captura Propia),26,Video
-31.279,-64.463,Interno (Captura Propia),85,Video
-31.279,-64.462,Interno (Captura Propia),19,Video
-31.277,-64.462,Interno (Captura Propia),3,Video
-31.275,-64.463,Interno (Captura Propia),9,Video
-31.273,-64.464,Interno (Captura Propia),1,Video
-31.272,-64.464,Interno (Captura Propia),2,Video
-31.271,-64.464,Interno (Captura Propia),19,Video
-31.269,-64.48,Interno (Captura Propia),1,Video
-31.269,-64.478,Interno (Captura Propia),1,Video
-31.221,-64.484,Interno (Captura Propia),1,Video
-31.22,-64.484,Interno (Captura Propia),1,Video
-31.219,-64.485,Interno (Captura Propia),1,Video
-31.211,-64.492,Interno (Captura Propia),1,Video
-31.207,-64.493,Interno (Captura Propia),1,Video
-31.206,-64.493,Interno (Captura Propia),1,Video
-31.194,-64.492,Interno (Captura Propia),2,Video
-31.096,-64.477,Interno (Captura Propia),7,Video
-31.095,-64.501,Interno (Captura Propia),1,Video
-31.094,-64.501,Interno (Captura Propia),27,Video
-31.092,-64.471,Interno (Captura Propia),3,Video
-31.092,-64.47,Interno (Captura Propia),2,Video
-22.969,-43.18,Interno (Captura Propia),1,Video
-22.967,-43.179,Interno (Captura Propia),4,Video
-22.966,-43.175,Interno (Captura Propia),1,Video
-22.965,-43.173,Interno (Captura Propia),1,Video
-12.552,-37.987,Interno (Captura Propia),1,Imagen
-12.551,-37.987,Interno (Captura Propia),9,Imagen
-12.55,-37.989,Interno (Captura Propia),4,Imagen
-12.55,-37.988,Interno (Captura Propia),2,Imagen
-12.549,-37.988,Interno (Captura Propia),2,Imagen
-12.549,-37.987,Interno (Captura Propia),7,Imagen
40.378,-3.743,Interno (Captura Propia),1,Video
40.415,-3.708,Interno (Captura Propia),2,Video
40.417,-3.683,Interno (Captura Propia),23,Video
40.418,-3.704,Interno (Captura Propia),6,Video
40.42,-3.705,Interno (Captura Propia),2,Video
40.42,-3.702,Interno (Captura Propia),4,Video
40.42,-3.701,Interno (Captura Propia),1,Video
40.42,-3.7,Interno (Captura Propia),16,Video
40.421,-3.709,Interno (Captura Propia),2,Video
40.421,-3.707,Interno (Captura Propia),3,Video
40.43,-3.716,Interno (Captura Propia),1,Video
40.431,-3.717,Interno (Captura Propia),1,Video
40.431,-3.716,Interno (Captura Propia),2,Video
40.464,-3.571,Interno (Captura Propia),1,Video
41.135,-8.619,Interno (Captura Propia),7,Video
41.136,-8.619,Interno (Captura Propia),4,Video
41.136,-8.618,Interno (Captura Propia),7,Video
41.138,-8.617,Interno (Captura Propia),2,Video
41.138,-8.616,Interno (Captura Propia),4,Video
41.138,-8.614,Interno (Captura Propia),2,Video
41.138,-8.609,Interno (Captura Propia),7,Video
41.139,-8.611,Interno (Captura Propia),2,Video
41.139,-8.61,Interno (Captura Propia),2,Video
41.139,-8.609,Interno (Captura Propia),1,Video
41.14,-8.616,Interno (Captura Propia),2,Video
41.14,-8.615,Interno (Captura Propia),1,Video
41.14,-8.609,Interno (Captura Propia),3,Video
41.141,-8.624,Interno (Captura Propia),1,Video
41.141,-8.623,Interno (Captura Propia),3,Video
41.141,-8.61,Interno (Captura Propia),11,Video
41.142,-8.61,Interno (Captura Propia),3,Video
41.143,-8.61,Interno (Captura Propia),2,Video
41.145,-8.616,Interno (Captura Propia),1,Video
41.145,-8.615,Interno (Captura Propia),1,Video
41.145,-8.611,Interno (Captura Propia),3,Video
41.146,-8.615,Interno (Captura Propia),1,Video
41.147,-8.615,Interno (Captura Propia),2,Video
43.77,11.255,Interno (Captura Propia),2,Video
43.77,11.256,Interno (Captura Propia),2,Video
43.771,11.252,Interno (Captura Propia),1,Video
43.771,11.254,Interno (Captura Propia),2,Video
43.771,11.255,Interno (Captura Propia),3,Video
43.772,11.251,Interno (Captura Propia),2,Video
43.772,11.252,Interno (Captura Propia),1,Video
43.776,11.249,Interno (Captura Propia),1,Video
43.776,11.258,Interno (Captura Propia),1,Video
45.464,9.192,Interno (Captura Propia),1,Video
45.464,9.194,Interno (Captura Propia),1,Video
45.466,9.172,Interno (Captura Propia),2,Video
45.516,9.222,Interno (Captura Propia),3,Video
45.516,9.223,Interno (Captura Propia),18,Video
